,sent_no,parag_no,sect_no,sent_raw,sent_clean,char_len,token_len
445,445,98,6,"Mrs. Ramsay, who had been sitting loosely, folding her son in her arm, braced herself, and, half turning, seemed to raise herself with an effort, and at once to pour erect into the air a rain of energy, a column of spray, looking at the same time animated and alive as if all her energies were being fused into force, burning and illuminating (quietly though she sat, taking up her stocking again), and into this delicious fecundity, this fountain and spray of life, the fatal sterility of the male plunged itself, like a beak of brass, barren and bare.",mrs  ramsay  who had been sitting loosely  folding her son in her arm  braced herself  and  half turning  seemed to raise herself with an effort  and at once to pour erect into the air a rain of energy  a column of spray  looking at the same time animated and alive as if all her energies were being fused into force  burning and illuminating  quietly though she sat  taking up her stocking again   and into this delicious fecundity  this fountain and spray of life  the fatal sterility of the male plunged itself  like a beak of brass  barren and bare ,553,99
446,446,98,6,He wanted sympathy.,he wanted sympathy ,19,3
447,447,98,6,"He was a failure, he said.",he was a failure  he said ,26,6
448,448,98,6,Mrs. Ramsay flashed her needles.,mrs  ramsay flashed her needles ,32,5
449,449,98,6,"Mr. Ramsay repeated, never taking his eyes from her face, that he was a failure.",mr  ramsay repeated  never taking his eyes from her face  that he was a failure ,80,15
450,450,98,6,She blew the words back at him.,she blew the words back at him ,31,7
451,451,98,6,"""Charles Tansley..."" she said.", charles tansley     she said ,30,4
452,452,98,6,But he must have more than that.,but he must have more than that ,32,7
453,453,98,6,"It was sympathy he wanted, to be assured of his genius, first of all, and then to be taken within the circle of life, warmed and soothed, to have his senses restored to him, his barrenness made furtile, and all the rooms of the house made full of life - the drawing-room; behind the drawing-room the kitchen; above the kitchen the bedrooms; and beyond them the nurseries; they must be furnished, they must be filled with life.",it was sympathy he wanted  to be assured of his genius  first of all  and then to be taken within the circle of life  warmed and soothed  to have his senses restored to him  his barrenness made furtile  and all the rooms of the house made full of life   the drawing room  behind the drawing room the kitchen  above the kitchen the bedrooms  and beyond them the nurseries  they must be furnished  they must be filled with life ,426,77
454,454,99,6,"Charles Tansley thought him the greatest metaphysician of the time, she said.",charles tansley thought him the greatest metaphysician of the time  she said ,77,12
455,455,99,6,But he must have more than that.,but he must have more than that ,32,7
456,456,99,6,He must have sympathy.,he must have sympathy ,22,4
457,457,99,6,"He must be assured that he too lived in the heart of life; was needed; not only here, but all over the world.",he must be assured that he too lived in the heart of life  was needed  not only here  but all over the world ,109,23
458,458,99,6,"Flashing her needles, confident, upright, she created drawing-room and kitchen, set them all aglow; bade him take his ease there, go in and out, enjoy himself.",flashing her needles  confident  upright  she created drawing room and kitchen  set them all aglow  bade him take his ease there  go in and out  enjoy himself ,159,26
459,459,99,6,"She laughed, she knitted.",she laughed  she knitted ,25,4
460,460,99,6,"Standing between her knees, very stiff, James felt all her strength flaring up to be drunk and quenched by the beak of brass, the arid scimitar of the male, which smote mercilessly, again and again, demanding sympathy.",standing between her knees  very stiff  james felt all her strength flaring up to be drunk and quenched by the beak of brass  the arid scimitar of the male  which smote mercilessly  again and again  demanding sympathy ,218,37
461,461,100,6,"He was a failure, he repeated.",he was a failure  he repeated ,30,6
462,462,100,6,"Well, look then, feel then.",well  look then  feel then ,27,5
463,463,100,6,"Flashing her needles, glancing round about her, out of the window, into the room, at James himself, she assured him, beyond a shadow of a doubt, by her laugh, her poise, her competence (as a nurse carrying a light across a dark room assures a fractious child), that it was real; the house was full; the garden blowing.",flashing her needles  glancing round about her  out of the window  into the room  at james himself  she assured him  beyond a shadow of a doubt  by her laugh  her poise  her competence  as a nurse carrying a light across a dark room assures a fractious child   that it was real  the house was full  the garden blowing ,318,58
464,464,100,6,"If he put implicit faith in her, nothing should hurt him; however deep he buried himself or climed high, not for a second should he find himself without her.",if he put implicit faith in her  nothing should hurt him  however deep he buried himself or climed high  not for a second should he find himself without her ,157,29
465,465,100,6,"So boasting of her capacity to surround and protect, there was scarcely a shell of herself left for her to know herself by; all was so lavished and spent; and James, as he stood stiff between her knees, felt her rise in a rosy-flowered fruit tree laid with leaves and dancing boughs into which the beak of brass, the arid scimitar of his father, the egotistical man, plunged and smote, demanding sympathy.",so boasting of her capacity to surround and protect  there was scarcely a she will of herself left for her to know herself by  all was so lavished and spent  and james  as he stood stiff between her knees  felt her rise in a rosy flowered fruit tree laid with leaves and dancing boughs into which the beak of brass  the arid scimitar of his father  the egotistical man  plunged and smote  demanding sympathy ,405,72
466,466,101,6,"Filled with her words, like a child who drops off satisfied, he said, at last, looking at her with humble gratitude, restored, renewed, that he would take a turn; he would watch the children playing cricket.",filled with her words  like a child who drops off satisfied  he said  at last  looking at her with humble gratitude  restored  renewed  that he would take a turn  he would watch the children playing cricket ,207,36
